"journalid","journalname","SourceId","year","articletitle","volume","issue","pages","lastname","firstname"
4,"Academy of Management Journal",12339,2006,"When does trust matter to alliance performance?","49","5","894-917","Krishnan","Rekha"
4,"Academy of Management Journal",12346,2006,"Do leaders' influence tactics relate to members' helping behavior? It depends on the quality of the relationship.","49","6","1194-1208","Sparrowe","Raymond T."
4,"Academy of Management Journal",12350,2006,"Boundary spanners' identification, intergroup contact, and effective intergroup relations","49","6","1252-1269","Richter","Andreas W."
4,"Academy of Management Journal",12351,2006,"Knowledge Exchange and Combination: The Role of Human Resource Practices in the Performance of High-Technology Firms","49","3","544-560","Collins","Christopher J. "
4,"Academy of Management Journal",12356,2006,"Transformational Leadership and Job Behaviors: The Mediating Role of Core Job Characteristics","49","2","327-340","Piccolo","Ronald F."
4,"Academy of Management Journal",12361,2012,"PERCEPTIONS OF BENEVOLENCE AND THE DESIGN OF AGENCY CONTRACTS: CEO-TMT RELATIONSHIPS IN FAMILY FIRMS","53","1","69-89","Cruz","Cristina C."
4,"Academy of Management Journal",12363,2010,"LINKING EMPOWERING LEADERSHIP AND EMPLOYEE CREATIVITY: THE INFLUENCE OF PSYCHOLOGICAL EMPOWERMENT, INTRINSIC MOTIVATION, AND CREATIVE PROCESS ENGAGEMENT","53","1","107-128","Zhang ","Xiaomeng "
4,"Academy of Management Journal",12365,2010,"ACTIVATING CROSS-BOUNDARY KNOWLEDGE: THE ROLE OF SIMMELIAN TIES IN THE GENERATION OF INNOVATIONS","53","1","167-181","Tortoriello ","Marco"
4,"Academy of Management Journal",12366,2010,"THE IMPACT OF CLIENT VARIABILITY ON NURSES’ OCCUPATIONAL STRAIN AND INJURY: CROSS-LEVEL MODERATION BY SAFETY CLIMATE","53","1","182-198","Chowdhury ","Sanjib K."
4,"Academy of Management Journal",12394,2003,"Self-Concordance at Work: Toward Understanding the Motivational Effects of Transformational Leaders","46","5","554-571","Bono","Joyce E."
4,"Academy of Management Journal",12414,2010,"An Examination of Whether and How Radical and Gender Biases Influence Customer Satisfaction","53","2","238-264","Hekman","David R."
4,"Academy of Management Journal",12417,2010,"A Little Help Here? Board Control, CEO Identification with the Corporate Elite, and Strategic Help Provided to CEOs at Other Firms","53","2","343-370","McDonald ","Michael L."
4,"Academy of Management Journal",12426,2010,"Task contingencies in the curvilinear relationships between intergroup networks and initiative performance","53","4","865-889","Lechner","Christoph"
4,"Academy of Management Journal",12429,2010,"CEO personality, strategic flexibility, and firm performance: The case of the Indian business process outsourcing industry","53","5","1050-1073","Nadkarni","Sucheta"
4,"Academy of Management Journal",12439,2008,"Sociopolitical dynamics in relations between top managers and security analysts: Favor rendering, reciprocity, and analyst stock recommendations","51","5","873-897","Westphal","James D."
4,"Academy of Management Journal",12450,2007,"Does Rudeness Really Matter? The Effects of Rudeness on Task Performance and Helpfulness","50","5","1181-1197","Porath","Christine L."
4,"Academy of Management Journal",12452,2007,"Is More Fairness Always Preferred? Self-esteem Moderates Reactions to Procedural Justice ","50","5","1235-1253","Wiesenfeld","Batia M."
4,"Academy of Management Journal",12458,2007,"Feeling the Heat: Effects of Stress, Commitment, and Job Experience on Job Performance","50","4","953-968","Hunter","Larry W."
4,"Academy of Management Journal",12460,2008,"CEO transformational leadership: The role of goal importance congruence in top management teams","51","1","81-96","Colbert","Amy E."
